method,group_id,seed,recall@50,mrr,map,ndcg@50,tie_fraction
raw_esm_mean,BGC0000175,20260811,0.5882352941176471,0.05891097886927048,0.9818191600290872,1.0,0.18147465437788016
raw_esm_mean,BGC0000469,20260811,0.81,0.4757256207895921,0.5445117663257555,0.6658322437455619,0.1654147465437788
raw_esm_mean,BGC0001140,20260811,0.7575757575757575,0.0719713313476109,0.9759534950992836,1.0,0.18018433179723506
raw_esm_mean,BGC0001441,20260811,0.746268656716418,0.0709445555629329,0.9647275576486629,1.0,0.17352534562211985
raw_esm_mean,BGC0001574,20260811,0.7827272727272727,0.15356539178599682,0.7737961336485124,0.8398518021949883,0.17361751152073734
raw_esm_mean,BGC0001657,20260811,0.63,0.632368047779022,0.632368047779022,0.63,0.16557603686635947
raw_esm_mean,BGC0001700,20260811,0.9332,0.15007932356564918,0.9370788054420146,0.95609530330578,0.1675115207373272
raw_esm_mean,BGC0001945,20260811,0.785,0.6369586751492828,0.7739173502985658,0.8272309560210022,0.1720046082949309
raw_esm_mean,BGC0001952,20260811,0.9716666666666668,0.2557934744183974,0.9663110148100904,0.9797095366152858,0.1753917050691244
raw_esm_mean,BGC0002061,20260811,0.8718181818181818,0.13400180789417568,0.43034862843669786,0.6537344582558753,0.17513824884792625
raw_esm_mean,BGC0002095,20260811,1.0,0.16651917967211244,0.4968691493249476,0.7419064796414928,0.17048387096774192
raw_esm_mean,BGC0002378,20260811,0.674,0.3062055452301542,0.4815017318659796,0.6552402367240877,0.17576036866359449
raw_esm_mean,BGC0002625,20260811,1.0,0.27441383364110633,0.9986748251748252,0.9996656370918654,0.17205069124423966
setnet,BGC0000031,20260811,0.57,0.11580348540129408,0.4106822740427234,0.5916290477430581,0.14783410138248848
setnet,BGC0000078,20260811,0.95,0.2861637315028974,0.3594107963391282,0.534544074648868,0.1495852534562212
setnet,BGC0000171,20260811,0.9423076923076924,0.2402359657551747,0.9430755760358192,0.9627330518587258,0.14753456221198158
setnet,BGC0000175,20260811,0.5882352941176471,0.0589856006589921,0.9881111725615248,1.0,0.14861751152073732
setnet,BGC0000469,20260811,1.0,0.7175833333333332,0.9351666666666668,0.9681462576295056,0.14755760368663595
setnet,BGC0001140,20260811,0.7575757575757575,0.07233973602899868,0.9999955436720144,1.0,0.14695852534562212
setnet,BGC0001441,20260811,0.746268656716418,0.07147050332841323,0.999171349379998,1.0,0.14739631336405531
setnet,BGC0001574,20260811,0.92,0.16129534187538394,0.876037459502673,0.9323257675490616,0.1492626728110599
setnet,BGC0001657,20260811,1.0,0.8755555555555555,0.8755555555555555,0.9021441993929574,0.1474193548387097
setnet,BGC0001700,20260811,0.9992,0.15192560636514027,0.9824909922465016,0.9958057510828592,0.14460829493087554
setnet,BGC0001945,20260811,0.785,0.6434447239202064,0.7868894478404126,0.8336532928891471,0.14801843317972352
setnet,BGC0001952,20260811,1.0,0.25860088985088986,1.0,1.0,0.1499078341013825
setnet,BGC0002061,20260811,0.9327272727272726,0.16379494823570248,0.4953121620431149,0.7319590065803824,0.14755760368663595
setnet,BGC0002095,20260811,1.0,0.10215650481577844,0.3804507519427335,0.622374123636388,0.14580645161290326
setnet,BGC0002378,20260811,0.722,0.3271511065672761,0.5773481591108954,0.7061819052910622,0.15188940092165898
setnet,BGC0002625,20260811,1.0,0.2745343040797586,1.0,1.0,0.14654377880184333
pfam,BGC0000031,20260812,0.9381818181818182,0.1505218058921298,0.7401369127404032,0.8985290914936408,0.6789631336405529
pfam,BGC0000078,20260812,0.85,0.5857679360517359,0.6908215863891862,0.7848077426625736,0.7372811059907833
pfam,BGC0000171,20260812,1.0,0.2446256734718273,1.0,1.0,0.7213594470046083
pfam,BGC0000175,20260812,0.5882352941176471,0.059076618457577314,0.9957778612382068,1.0,0.6188248847926268
pfam,BGC0000469,20260812,1.0,0.75,1.0,1.0,0.7604608294930876
pfam,BGC0001140,20260812,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6727419354838711
pfam,BGC0001441,20260812,0.746268656716418,0.07148287175188403,1.0,1.0,0.7240552995391706
pfam,BGC0001574,20260812,0.9604545454545454,0.16363168740192374,0.917547670911274,0.9631903581471648,0.6463364055299539
pfam,BGC0001657,20260812,0.81,0.81059375,0.81059375,0.81,0.7117972350230414
pfam,BGC0001700,20260812,1.0,0.15263832711014028,1.0,1.0,0.7120046082949308
pfam,BGC0001945,20260812,0.84,0.6704134272705699,0.8408268545411398,0.8762071016849466,0.6523732718894009
pfam,BGC0001952,20260812,1.0,0.25860088985088986,1.0,1.0,0.7189400921658986
pfam,BGC0002061,20260812,0.9372727272727271,0.12827904850581867,0.4321200081399358,0.6669064070124832,0.7294700460829493
pfam,BGC0002095,20260812,1.0,0.1716299677013038,0.5082210598908767,0.7524422058748792,0.7312442396313363
pfam,BGC0002378,20260812,0.696,0.3829438818492904,0.6765275740825166,0.7730624896886245,0.7286635944700461
pfam,BGC0002625,20260812,1.0,0.2745343040797586,1.0,1.0,0.7317281105990783
raw_esm_mean,BGC0000031,20260812,0.4118181818181818,0.10747717200692657,0.3518972770523223,0.492470544761337,0.17465437788018434
raw_esm_mean,BGC0000078,20260812,0.975,0.3547467001689013,0.4465767336711359,0.6123905000357309,0.16
raw_esm_mean,BGC0000171,20260812,0.7630769230769231,0.2201096221583196,0.7635584002001297,0.8289998465128658,0.17552995391705067
raw_esm_mean,BGC0000175,20260812,0.5882352941176471,0.058909852404904824,0.981721523844614,1.0,0.17912442396313366
raw_esm_mean,BGC0000469,20260812,0.755,0.4153255063683082,0.462877458771202,0.5898676273595838,0.1653917050691244
raw_esm_mean,BGC0001140,20260812,0.7575757575757575,0.07197711478903596,0.9763232651523,1.0,0.17995391705069125
raw_esm_mean,BGC0001441,20260812,0.7434328358208956,0.07083677891027856,0.9603368405969982,0.9970214445967848,0.17315668202764978
raw_esm_mean,BGC0001574,20260812,0.7731818181818181,0.15203082743194885,0.758592485244894,0.8302804556778688,0.17417050691244235
raw_esm_mean,BGC0001657,20260812,0.63,0.6322765957446809,0.6322765957446809,0.63,0.16564516129032258
raw_esm_mean,BGC0001700,20260812,0.9316,0.1499861326465813,0.9350769980685936,0.9549112285697648,0.16898617511520736
raw_esm_mean,BGC0001945,20260812,0.84,0.6666809148110944,0.8333618296221887,0.8721931411423559,0.17315668202764978
raw_esm_mean,BGC0001952,20260812,0.9641666666666668,0.2555833032254856,0.9637889604951492,0.9762602379153501,0.17716589861751153
raw_esm_mean,BGC0002061,20260812,0.8781818181818182,0.12724864867835314,0.4213531506303965,0.6438445731132099,0.17198156682027652
raw_esm_mean,BGC0002095,20260812,1.0,0.17259854040681205,0.5074031472726284,0.7529487622453499,0.17002304147465438
raw_esm_mean,BGC0002378,20260812,0.644,0.2907689986103116,0.4631965674834225,0.6232147463434583,0.17465437788018434
raw_esm_mean,BGC0002625,20260812,1.0,0.2744037326310053,0.998563714063714,0.9996397179962958,0.17214285714285715
setnet,BGC0000031,20260812,0.2731818181818182,0.07640710302812266,0.2418610008602073,0.3318027484624877,0.14852534562211986
setnet,BGC0000078,20260812,0.755,0.27125383500530914,0.29659613873144003,0.4557571052602003,0.1480414746543779
setnet,BGC0000171,20260812,0.9492307692307692,0.2408720875262321,0.9512033827072623,0.9676309859801232,0.14536866359447007
setnet,BGC0000175,20260812,0.5882352941176471,0.05897143857666595,0.9869670994148716,1.0,0.14718894009216588
setnet,BGC0000469,20260812,1.0,0.6657051282051282,0.8414102564102564,0.9144411936761708,0.14737327188940091
setnet,BGC0001140,20260812,0.7575757575757575,0.07217199977161387,0.9890130268733778,1.0,0.14781105990783408
setnet,BGC0001441,20260812,0.746268656716418,0.07136964882380778,0.992415127323567,1.0,0.14546082949308756
setnet,BGC0001574,20260812,0.8322727272727274,0.15743383394643876,0.8134851722625821,0.8754670984586947,0.14744239631336406
setnet,BGC0001657,20260812,1.0,0.8146341463414635,0.8146341463414635,0.8452353144489202,0.14631336405529954
setnet,BGC0001700,20260812,1.0,0.15208860085750744,0.9864455812430144,0.9971869540091072,0.14327188940092164
setnet,BGC0001945,20260812,0.84,0.6475712400344753,0.8201424800689507,0.8535776631318549,0.14880184331797236
setnet,BGC0001952,20260812,1.0,0.25860088985088986,1.0,1.0,0.15085253456221198
setnet,BGC0002061,20260812,0.8781818181818182,0.16806846587044166,0.5042758981209651,0.7219081680747607,0.14603686635944702
setnet,BGC0002095,20260812,1.0,0.13571348384288714,0.4343479581952425,0.6839591438610648,0.14299539170506914
setnet,BGC0002378,20260812,0.536,0.2980366211750236,0.488347461867486,0.5974412828937412,0.14764976958525344
setnet,BGC0002625,20260812,1.0,0.2745343040797586,1.0,1.0,0.14723502304147465
pfam,BGC0000031,20260813,0.911818181818182,0.15119803075140542,0.7424727466122271,0.8875934226016288,0.6793087557603686
pfam,BGC0000078,20260813,0.835,0.5569232696515045,0.6475965393030091,0.7508829880848485,0.7374884792626729
pfam,BGC0000171,20260813,1.0,0.2446256734718273,1.0,1.0,0.7224423963133639
pfam,BGC0000175,20260813,0.5882352941176471,0.05907276391882669,0.9954503411977008,1.0,0.6162672811059907
pfam,BGC0000469,20260813,1.0,0.75,1.0,1.0,0.7581797235023042
pfam,BGC0001140,20260813,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6732027649769585
pfam,BGC0001441,20260813,0.746268656716418,0.07148287175188403,1.0,1.0,0.7252995391705069
pfam,BGC0001574,20260813,0.9598863636363636,0.16378919723808685,0.920122747265644,0.9635725822876152,0.6491244239631336
pfam,BGC0001657,20260813,0.85,0.85046875,0.85046875,0.85,0.7101152073732719
pfam,BGC0001700,20260813,1.0,0.15263832711014028,1.0,1.0,0.7113824884792627
pfam,BGC0001945,20260813,0.85,0.675380935655198,0.850761871310396,0.8839441578296374,0.6525345622119815
pfam,BGC0001952,20260813,1.0,0.25860088985088986,1.0,1.0,0.7181336405529954
pfam,BGC0002061,20260813,0.9327272727272726,0.1244981010132631,0.4221675135833741,0.6576630047061977,0.7279953917050692
pfam,BGC0002095,20260813,1.0,0.1716217091577693,0.5117260800366857,0.7531051640323316,0.7338248847926268
pfam,BGC0002378,20260813,0.7140000000000001,0.3847587059701503,0.6845969691608252,0.7816652961908913,0.7265207373271889
pfam,BGC0002625,20260813,1.0,0.2745343040797586,1.0,1.0,0.7357142857142857
raw_esm_mean,BGC0000031,20260813,0.41590909090909095,0.11561342112733396,0.3841863772586329,0.5197485020301429,0.17566820276497694
raw_esm_mean,BGC0000078,20260813,0.98,0.39265735798041296,0.4882909064370165,0.6497827561542515,0.1604147465437788
raw_esm_mean,BGC0000171,20260813,0.8561538461538462,0.22999268344454826,0.8533168592443162,0.8975622085104886,0.17421658986175115
raw_esm_mean,BGC0000175,20260813,0.5882352941176471,0.058905824777528835,0.9813827148831696,1.0,0.1815437788018433
raw_esm_mean,BGC0000469,20260813,0.725,0.4659207374034767,0.5258672649083248,0.6346220962278938,0.16523041474654376
raw_esm_mean,BGC0001140,20260813,0.7575757575757575,0.07198093668751931,0.9765634812705052,1.0,0.1790783410138249
raw_esm_mean,BGC0001441,20260813,0.746268656716418,0.07097534503323487,0.966716462091486,1.0,0.17548387096774193
raw_esm_mean,BGC0001574,20260813,0.7731818181818181,0.15419505506992148,0.7701972723895274,0.8361439523017574,0.17359447004608294
raw_esm_mean,BGC0001657,20260813,0.62,0.6224206793579694,0.6224206793579694,0.62,0.165668202764977
raw_esm_mean,BGC0001700,20260813,0.9296,0.1499372803153048,0.9336693083834726,0.9537120022907803,0.16806451612903225
raw_esm_mean,BGC0001945,20260813,0.85,0.66746688221999,0.8349337644399799,0.8759162367444563,0.1726036866359447
raw_esm_mean,BGC0001952,20260813,0.96,0.25529434015419594,0.9603214036396732,0.9735973376421954,0.17619815668202765
raw_esm_mean,BGC0002061,20260813,0.8672727272727273,0.13435826247855834,0.4256736713149563,0.6514774512006503,0.17255760368663595
raw_esm_mean,BGC0002095,20260813,1.0,0.16832049801523738,0.4935834979172886,0.7440047168726024,0.17135944700460828
raw_esm_mean,BGC0002378,20260813,0.67,0.29682875522386776,0.4750532031309235,0.6411644998287482,0.17345622119815668
raw_esm_mean,BGC0002625,20260813,1.0,0.2743901308685997,0.9984140946772526,0.9996085697361906,0.17078341013824885
setnet,BGC0000031,20260813,0.7109090909090909,0.10252404953832288,0.4167274201940402,0.6328662049462804,0.14912442396313366
setnet,BGC0000078,20260813,0.965,0.6132951009599471,0.7632568685865607,0.8534389770719926,0.14829493087557602
setnet,BGC0000171,20260813,0.9384615384615386,0.23961451207302634,0.9361918498097751,0.9595262431994006,0.14246543778801846
setnet,BGC0000175,20260813,0.5882352941176471,0.05912619797650419,0.9999890875355756,1.0,0.14900921658986174
setnet,BGC0000469,20260813,0.8,0.6247787480724251,0.7695574961448499,0.8207329893955649,0.15119815668202766
setnet,BGC0001140,20260813,0.7575757575757575,0.07233850151932376,0.9999140660334691,1.0,0.14976958525345624
setnet,BGC0001441,20260813,0.746268656716418,0.07145634378339052,0.9982263567593164,1.0,0.14580645161290326
setnet,BGC0001574,20260813,0.8140909090909091,0.1553352532401774,0.7807720778146852,0.859325785854394,0.14769585253456222
setnet,BGC0001657,20260813,0.62,0.6231304229008677,0.6231304229008677,0.62,0.15087557603686635
setnet,BGC0001700,20260813,0.9776,0.15166468065481076,0.9761279526793136,0.9834966525922751,0.14216589861751153
setnet,BGC0001945,20260813,0.85,0.6572104076765295,0.814420815353059,0.8655264551303449,0.1514746543778802
setnet,BGC0001952,20260813,1.0,0.25860088985088986,1.0,1.0,0.1468663594470046
setnet,BGC0002061,20260813,0.9327272727272726,0.15077406966532333,0.4652454835018686,0.7072029778027238,0.14700460829493087
setnet,BGC0002095,20260813,1.0,0.14988134617061796,0.4603321174248158,0.7117609954360017,0.1437327188940092
setnet,BGC0002378,20260813,0.6659999999999999,0.24269250328183856,0.3477456081756464,0.5455821071360009,0.1468663594470046
setnet,BGC0002625,20260813,1.0,0.2745343040797586,1.0,1.0,0.14764976958525344
pfam,BGC0000031,20260814,0.9081818181818184,0.1526880434455039,0.7631937439017051,0.8921811965022985,0.6818433179723502
pfam,BGC0000078,20260814,0.805,0.5915464770157527,0.7023786683172196,0.7819762289669956,0.7331336405529955
pfam,BGC0000171,20260814,1.0,0.2446256734718273,1.0,1.0,0.7243778801843318
pfam,BGC0000175,20260814,0.5882352941176471,0.05907855092926278,0.995941595100678,1.0,0.6188709677419355
pfam,BGC0000469,20260814,1.0,0.75,1.0,1.0,0.7582949308755761
pfam,BGC0001140,20260814,0.7575757575757575,0.0723398035491197,1.0,1.0,0.6678801843317973
pfam,BGC0001441,20260814,0.746268656716418,0.07148287175188403,1.0,1.0,0.7260368663594471
